% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
2.97078555e+06  -5.9062e+01  1.3831e+02  -8.4679e+01  1.4164e+01
2.94207861e+06  -6.0031e+01  -1.6978e+01  -8.9519e+01  4.8239e+00
2.91364908e+06  -6.3124e+01  3.6366e+01  -8.8461e+01  -2.8272e+01
2.88549426e+06  -5.8599e+01  -1.6862e+02  -9.2048e+01  -1.7406e+02
2.85761150e+06  -5.7360e+01  8.4682e+01  -9.4231e+01  4.1445e+00
2.82999817e+06  -6.1209e+01  -4.7829e+01  -9.5570e+01  9.2365e+01
2.80265168e+06  -5.7229e+01  -6.8027e+01  -8.4768e+01  3.5820e+01
2.77556943e+06  -5.7352e+01  -1.1032e+02  -9.3004e+01  5.9113e+01
2.74874889e+06  -5.3693e+01  7.3093e+01  -8.8461e+01  1.4110e+02
2.72218751e+06  -6.0474e+01  1.7542e+02  -9.3004e+01  1.4567e+02
2.69588279e+06  -5.8799e+01  -8.2241e+01  -9.5818e+01  2.4686e+01
2.66983227e+06  -6.5589e+01  2.4049e+01  -9.0305e+01  -7.9560e+00
2.64403347e+06  -6.5215e+01  -1.2358e+02  -8.4100e+01  -1.6876e+02
2.61848396e+06  -6.4011e+01  -5.6265e+01  -8.3777e+01  1.9699e+01
2.59318135e+06  -7.8093e+01  1.4054e+02  -8.8255e+01  -1.7186e+02
2.56812323e+06  -6.6052e+01  1.3892e+02  -8.2274e+01  1.0113e+02
2.54330725e+06  -5.5242e+01  1.4896e+02  -8.8461e+01  -5.2137e+01
2.51873107e+06  -6.4438e+01  -1.2949e+02  -8.7952e+01  1.5997e+01
2.49439238e+06  -6.0240e+01  1.4750e+02  -8.3635e+01  -8.1615e+01
2.47028887e+06  -5.7906e+01  -1.3401e+02  -8.3890e+01  -1.4519e+02
2.44641827e+06  -6.6954e+01  7.3921e+00  -8.6901e+01  1.6827e+02
2.42277834e+06  -6.1542e+01  6.2310e+01  -8.1639e+01  -1.5344e+02
2.39936684e+06  -5.5188e+01  1.0442e+02  -8.4100e+01  8.5470e+01
2.37618157e+06  -6.6758e+01  1.6716e+02  -8.5818e+01  1.0372e+02
2.35322034e+06  -6.2411e+01  -1.7233e+02  -8.3965e+01  1.2283e+02
2.33048098e+06  -6.1245e+01  1.0518e+02  -9.1839e+01  1.9575e+01
2.30796136e+06  -6.7229e+01  -7.1081e+01  -9.5005e+01  -1.5993e+02
2.28565935e+06  -7.5083e+01  -5.1147e+01  -8.8828e+01  1.1482e+02
2.26357284e+06  -7.8093e+01  2.9300e+01  -8.5818e+01  -1.6474e+02
2.24169976e+06  -7.2778e+01  -1.3958e+02  -8.5510e+01  7.3340e+00
2.22003804e+06  -5.7215e+01  -5.0977e+01  -9.4601e+01  -6.3506e+01
2.19858563e+06  -6.2530e+01  2.5112e+01  -9.8123e+01  -1.1758e+01
2.17734053e+06  -6.5589e+01  -7.6868e+00  -9.3280e+01  -7.9498e+01
2.15630071e+06  -6.2506e+01  -8.3035e+01  -8.1839e+01  -1.0084e+01
